id;lang;label;body;topics;url
50G4-9Wz-fr;fr;Est-il toujours possible de candidater aux Centres de Préparation aux Jeux ?;"Désormais, il n’est plus possible de proposer des infrastructures pour devenir Centre de Préparation aux Jeux.

Trois phases ont permis aux collectivités de proposer des équipements et sont désormais closes.

On compte 500 collectivités qui accueillent 1029 équipements référencés ; tous dans des collectivités Terre de Jeux 2024.



Pour en savoir plus, rendez-vous sur :

https://terredejeux.paris2024.org/faq";"Autres;Terre de Jeux;Programmes Paris 2024";https://help.paris2024.org/contents/Est-il-toujours-possible-de-candidater-aux-Centres-de-Preparation-aux-Jeux-50G4-9Wz
6EFUb0FA-fr;fr;Paris 2024 propose-t-il une solution d’hébergement pour les volontaires ou des spectateurs issus de collectivités Terre de Jeux 2024 ?;"Paris 2024 n’a pas vocation à proposer de solution d’hébergement pour les volontaires ou les détenteurs de billets.

Cependant, notre partenaire ANDES (Association Nationale des Elus en charge du Sport) propose un dispositif dans ce sens :

https://andes.fr/actualites/une-solution-dhebergement-collectif-jop-paris-2024/";"Autres;Terre de Jeux;TDJ - Volontaire";https://help.paris2024.org/contents/Paris-2024-propose-t-il-une-solution-d-hebergement-pour-les-volontaires-ou-des-spectateurs-issus-de-collectivites-Terre-de-Jeux-2024-6EFUb0FA
FVASOtOh-fr;fr;Qu'est-ce que l'album Panini Équipe de France ?;"Le 2 avril 2024, pour célébrer son 50ᵉ anniversaire, Panini France a lancé une collection de stickers consacrée à l'Équipe de France Olympique et Paralympique.

Composé de 469, dont 81 spéciaux, cet album de 80 pages offre une véritable galerie de portraits représentant 441 athlètes qui porteront haut les couleurs de la France cet été. Des stars établies aux espoirs émergents, des sportifs issus de tous les sports sont mis à l’honneur dans l’album, illustrant la diversité et la richesse du sport et du talent français.

Règles, anecdotes, histoire, nombre de médailles obtenues depuis les premiers Jeux Olympiques de l’ère moderne, chaque sport et chaque discipline sont représentés et expliqués.

Cet album est le guide indispensable pour suivre l’événement au jour le jour et saisir la détermination des athlètes tricolores à travers des vignettes magnifiquement illustrées.

Grâce à ces stickers, les fans auront l’opportunité de soutenir leurs champion(ne)s tout au long de leur périple olympique et paralympique, créant ainsi un lien indéfectible entre supporters et athlètes !



Pour plus d’information, rendez-vous sur :

https://www.equipedefrance.com/article/panini-efr";"Sports et Athlètes;Athlètes;Équipe de France";https://help.paris2024.org/contents/Qu-est-ce-que-l-album-Panini-Equipe-de-France-FVASOtOh
IN6et_ZX-fr;fr;"Qu'est-ce que la campagne ""Rendez-vous avec l'histoire"" ?";"""Rendez-vous avec l'histoire"" est la campagne de communication qui accompagnera l'Équipe de France Olympique et Paralympique jusqu'aux Jeux.

Elle s'articule autour d'un film qui montre le passage de témoin entre des légendes du sport français et des athlètes qui représenteront la France à Paris, qui tous ont été ou sont déterminés à marquer l'histoire.

Les athlètes, mais également les légendes, les supporters... la France entière a rendez-vous avec l'histoire à Paris cet été.

La campagne dans ses différentes versions sera à retrouver à la télévision, sur les réseaux sociaux, au Club France ou encore dans les sites de célébrations.";"Sports et Athlètes;Athlètes;Équipe de France";https://help.paris2024.org/contents/Qu-est-ce-que-la-campagne-Rendez-vous-avec-l-histoire-IN6et_ZX
